"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"v8xy","ThaiLily Restaurant (Toa Payoh)","Thai",4.5,1013,"singapore","#01-268, Blk 107 Toa Payoh Lor 1,"
"xa9p","The Coffee Affaire (Royal Square @ Novena)","Coffee",4.2,6,"singapore","103 Irrawaddy Road #01-22, Royal Square @ Novena, Singapore 329566,"
"z2px","Rice Noodle Queen (Gourmet Paradise HDB Hub)","Noodles",4.7,86,"singapore","480 Lor 6 Toa Payoh, #B1- 01 HDB Hub, Gourmet Paradise, S 310480,"
"s7oz","Sinn Ji Hainanese Chicken Rice (Thomson V)","Chicken Rice",5.0,2694,"singapore","#01-05 273 THOMSON ROAD, NOVENA GARDENS,"
"nbd8","Killiney Go (Novena)","",0.0,0,"singapore","Thomson Rd 339, 307677 Novena, Central, Singapore, Singapore,"
"t3xm","Chicken Hotpot (Novena)","Chinese",4.7,135,"singapore","10 Sinaran Dr, Novena Square 2, #04-02A/B/C,"
"x7tf","The Larder Cafe (Toa Payoh Central)","Singaporean",4.9,512,"singapore","Blk 177 Toa Payoh Central, #01-124,"
"sos6","Teochew Hai Gang Fish Soup 潮州海港鱼汤 (Toa Payoh)","",5.0,63,"singapore","128 Lorong 1 Toa Payoh #01-811 Toa Payoh View SG310128,"
"ec0v","Pak lum wok master (Koufu 500 TPY)","",0.0,0,"singapore","500 lorong 6 toa payoh 310500,"
"x5xw","Mr YouTiao Café & Meals (Square 2)","Porridge",4.9,615,"singapore","10 Sinaran Drive #02-08 Square 2,"
"c8dk","CHA SHI 茶师 (Toa Payoh View)","Bubble Tea",5.0,702,"singapore","128 Lorong 1 Toa Payoh #01-827, 310128,"
"e4nx","East Treasure Chinese Restaurant (Toa Payoh)","Dim Sum ",4.9,6,"singapore","470 Lor 6 Toa Payoh #01-72,"
"w8yd","Dong Dong Hainanese Chicken Rice (480 Toa Payoh Gourmet Paradise by Koufu)","Chicken Rice",3.0,34,"singapore","#B1-01 HDB Hub, 480 Lorong 6 Toa Payoh,"
"o34x","Bowl Of Happiness (Ah Hood Road)","Rice Dishes",5.0,109,"singapore","31 ah hood road #01-04,"
"uhtw","OTOU-SAN HOKKAIDO DONBURI (Zhongshan Mall)","Asian",4.9,338,"singapore","20 Ah Hood Road #01-12 Zhongshan Mall,"
"m2zl","Famous Mr Bilal Prata Indian Muslim Food (168 Lor 1 Toa Payoh)","",4.9,158,"singapore","Blk 168 Lorong 1, Toa Payoh,"
"bj6v","Zhenwei ZiChar (126 Lor 1 Toa Payoh)","Asian",4.8,134,"singapore","Block 126, Lor 1 Toa Payoh 126 #01-577, 310126 Toa Payoh, North, Singapore, Singapore,"
"fo5b","Hup Heng Braised Duck 合兴 (Lorong 6 Toa Payoh)","Chinese",0.0,0,"singapore","500 Lorong 6 Toa Payoh, #02-03 HDB HUB Koufu, Stall 16, Singapore 310500,"
"phu9","一人饭 1Pax Bowl (558 Balestier)","Chinese",4.7,71,"singapore","558 Balestier Road 329874,"
"x2hs","Turkish Kebab (Lorong 6 Toa Payoh)","Middle Eastern",4.9,574,"singapore","Block 470 Toa Payoh Lorong 6 #02-70,"
"y5kr","Warming Rice Noodle 无名缘米粉 (480 Toa Payoh)","Noodles",4.2,24,"singapore","#B1-01 HDB Hub, 480 Lorong 6 Toa Payoh,"
"tu6w","Whampoa Keng Fish Head Steamboat Restaurant (Balestier Road) - Islandwide","Chinese",4.9,26,"singapore","556 balestier road,"
"ylxr","Shiko Vegetarian Restaurant (558 Balestier Road)","",0.0,0,"singapore","558 Balestier road,"
"a3i1","Balestier Seafood 马来西亚风味 (Balestier Road)","Malaysian",4.9,144,"singapore","567/569 Balestier Road 329884, S 329884,"
"w2ct","Spinach Soup (Koufu 500 TPY)","Soups",4.7,82,"singapore","Blk 500 Lorong 6 Toa Payoh, #02-30, Toa Payoh, 310500,,"
"sykq","Prawnography Novena Gardens ( THOMSON)","Noodles",4.7,97,"singapore","273 THOMSON ROAD #01-03A NOVENA GARDENS, S 307644,"
"kliv","Tipo Strada (Royal Square Novena)","Pasta",4.9,206,"singapore","103 Irrawady Road #01-09 Royal Square @ Novena, S 329566,"
"w9aj","Gong Cha (Toa Payoh)","Bubble Tea",5.0,2303,"singapore","01-546, Block 190 Lor 6 Toa Payoh, Ang Mo Kio,"
"x2da","Ya Huang 鸭皇 - (480 TPY Gourmet Paradise By Koufu)","",4.2,96,"singapore","B1-01 Hdb Hub, 480 Lorong 6 Toa Payoh,"
"v6zw","Viet Thai Cuisine (Toa Payoh)","Asian",4.8,940,"singapore","02-70, 470 Toa Payoh Lor, Toa Payoh, Ang Mo Kio,"
"x3eq","Pastry World (Toa Payoh)","",2.8,5,"singapore","127 Toa Payoh Lorong 1 #01-69 SG310127,"
"x6cl","Fruits & Juices (Koufu 470 TPY)","Beverages",4.8,82,"singapore","470 Toa Payoh Lorong 6 02-70,"
"v2qy","Celine's Gelato (Novena Regency)","Dessert",4.9,19,"singapore","275 Thomson Road #01-04, Novena Regency, Singapore 307645,"
"x2ku","Thai Tai 泰太 (Former Noodle ThaiThai)","Thai",5.0,3410,"singapore","20 Ah Hood Road #01-08A Zhongshan Mall, Novena,"
"h6sj","Fire Rice (125 Toa Payoh Lorong)","Fried Rice",4.8,24,"singapore","125 Toa Payoh Lorong 1 #01-523,"
"ftsk","Koufu Coffee, Toast, Dim Sum (HDB Hub)","Chinese",2.4,28,"singapore","Blk 500 Toa Payoh Lorong 6 #02-30 Singapore 310500,"
"pp57","Teenoy Thai (Balestier)","Thai",4.8,53,"singapore","558 Balestier Road, Homtang Thai, S 329874,"
"am3a","Al Hadheerah Express (Hdb Hub)","Indian",4.9,104,"singapore","480 Lorong 6 Toa Payoh, #B1-01 (R1), Singapore 310480,"
"x6te","Lechon Republic (Novena Regency)","Filipino",5.0,1475,"singapore","275 Thomson Rd, #01-09, Novena Regency,"
"pm70","Braddell H.K. Pastries (Lorong 1 Toa Payoh)","Cakes",4.9,154,"singapore","109 Lor 1 Toa Payoh, 109, Central, Toa Payoh, #01-302,"
"x9qd","Eday Western (Lorong 1 Toa Payoh)","Western",4.9,721,"singapore","128 Toa Payoh Lorong 1 #01-811,"
"x4oe","Stackz (Zhongshan Mall)","Western",4.6,121,"singapore","20 Ah hood road, #01-15, Zhongshan mall,"
"agq5","Heyy Pasta- Test Menu","Italian",0.0,0,"singapore","-,"
"v8un","El Cocinero (Novena)","Mexican",4.8,763,"singapore","01-45, 275 Thomson Road, Newton, Upper Central,"
"x4wt","La Café & Bar (Royal Square Novena)","Western",4.9,467,"singapore","103 Irrawaddy Road #01-07 Royal Square at Novena,"
"k95g","Sing Swee Kee Chicken Rice (Toa Payoh)","Chicken",4.9,272,"singapore","500 Lor 6 Toa Payoh #02-30,"
"x8fs","Pontian Wanton Noodle (Koufu 500 TPY)","Noodles",4.8,492,"singapore","500 Toa Payoh Lorong 6 02-30,"
"ck8e","Sevendaze (Jalan Rajah)","Asian",4.5,14,"singapore","1 Jalan Rajah, Zhongshan Park #01-02 & 03, Singapore, S 329133,"
"i8ca","Hankki (Lor 6 Toa Payoh)","Korean",5.0,1166,"singapore","190 Toa Payoh Lor 6 01-516 Food Alley,"
"fvvt","Summer Yakitoriya (Novena)","Japanese",0.0,0,"singapore","Jln Rajah 1, 329133 Novena, Central, Singapore, Singapore,"
"yfng","Al Fatthah Foods (Toa Payoh Central)","Indian",4.9,43,"singapore","177, Toa Payoh Central, #01-102, 310177,"
"x5hs","Creamier (Toa Payoh)","Dessert",5.0,426,"singapore","Blk 131 Lor 1 Toa Payoh #01-02,"
"yk1w","LAO WEI DAO SHA GUO BAO (Toa Payoh Mall)","Chinese",4.4,9,"singapore","Lor 6 Toa Payoh 190, 310190 Toa Payoh, North, Singapore, Singapore,"
"aah1","C_homecook Hakka Thunder Tea (Toa Payoh)","Chinese",5.0,127,"singapore","blk 125 toa payoh lor 1 01-523, 310125 Singapore ( johnson eatery coffee shop ),"
"rka8","NIU HONGHONG RESTAURANT  牛哄哄食堂 (Toa Payoh)","Chinese",5.0,74,"singapore","190 Lor 6 Toa Payoh, #01-530, Singapore 310190,"
"wsyo","Indian Style (Thomson Road)","Indian",0.0,0,"singapore","Thomson Rd 275 150 meter walk from IRAS towards Novena Regency, 307645 Novena, Central, Singapore, Singapore,"
"qnii","Nana's Açaí (Toa Payoh Lorong 2)","Dessert",5.0,393,"singapore","BLK 116 TOA PAYOH LOR 2 #01-150 S'310116,"
"zn65","Niu DianNiu Dian x Palace Tea  (Balestier Road)","Chinese",4.9,82,"singapore","520 Balestier Road, VIIO Balestier, #01-01/02 Singapore 329853,"
"j66g","TEST - Hua Xiao Chu (Park Road)","Singaporean",0.0,0,"singapore","1 Park Road, #01-63 Singapore,"
"yrj9","BaliNice Mala Hotpot 八里香麻辣香锅 (Lorong 1 Toa Payoh)","Chinese",4.9,162,"singapore","128 Lorong 1 Toa Payoh #01-811, Singapore 310128, S 310128,"
"s1jq","Shi Kou Seafood (Balestier Road)","Chinese",4.9,1257,"singapore","558 Balestier Road, Upper central, Novena,"
"q4fg","Indulge Teppanyaki & Grill House (31 Ah Hood Rd)","Chicken",5.0,1362,"singapore","31 AH HOOD ROAD #01-04,"
"x7gm","Xiao Lao Ban Xiang Guo 小老板香锅 (Balestier Road)","Curry",4.9,202,"singapore","558 Balestier Road,"
"d1gt","MM Test (2)","Ramen",0.0,0,"singapore","-,"
"ogb9","Naowarat Thai Cuisine (Monville Mansion)","Thai",4.9,31,"singapore","530 Balestier Road #01-06, Monville Mansion, Singapore 329857,"
"mmbq","EAT BAR 来吧吃霸 (Toa Payoh)","Chinese",4.9,526,"singapore","116 toa payoh lor2 #01-140,"
"x8aj","Full Feast Seafood (Johnson Eatery)","Seafood",4.7,233,"singapore","125 Toa payoh lorong 1,"
"okb0","Hong Fan Tian Mala Xiang Guo (Toa Payoh Lorong 6) - Islandwide","Chinese",0.0,0,"singapore","01-528, 190 Toa Payoh Lor 6, Toa Payoh, Ang Mo Kio,"
"droq","Fried Rice Hut (Balestier Road)","Chinese",4.8,35,"singapore","558, Balestier Rd, Novena, Central,,"
"x3gc","BangKok J.N Thai Food (567/569 Balestier)","Seafood",5.0,666,"singapore","567/569 Balestier Road,"
"queu","Lemon Vanilla (One Dusun Residences)","Cakes",4.8,5,"singapore","1 Jalan Dusun #01-18, One Dusun Residences, Singapore 329363,"
"gb4l","Ma Ma Bee (Toa Payoh)","Indonesian",4.9,38,"singapore","184 Toa Payoh Central #01-371 Stall 5, SG310184,"
"pgmh","ThaiTai 泰太 X brand (20 Ah Hood Rd)","",4.7,20,"singapore","20 Ah Hood Rd, #01-12 Zhongshan Mall,"
"d3az","21 on Rajah (Aloft Singapore Novena)","Mediterranean",4.4,27,"singapore","1 Jalan Rajah, Aloft Singapore Novena, East Wing, Singapore 329133,"
"z3qw","126 Nasi Lemak (Toa Payoh)","Malaysian",4.9,448,"singapore","126 Lorong 1 Toa Payoh #01-577 Toa Payoh Heights SG 310126,"
"bhhi","chachao 茶巢 (Lorong 6 Toa Payoh)","Asian",0.0,0,"singapore","Lor 6 Toa Payoh 190, 310190Central,  Singapore, Singapore,"
"nzyk","Yoshi's Kitchen (127 Toa Payoh Lorong 1)","Singaporean",4.9,254,"singapore","127toapayoh lorong 1 (market) #02-01 310127,"
"v9hj","470 Mini Wok (Lorong 7 Toa Payoh)","Chinese",5.0,2972,"singapore","#02-70, 470 Toa Payoh Lor 6, Toa Payoh, Ang Mo Kio,"
"y7cf","Secret Recipe (HDB Hub)","Cakes",5.0,260,"singapore","470 HDB Hub, Lorong 6 Toa Payoh, #01-71,"
"b820","D&E Pastries (Toa Payoh Central)","Dessert",5.0,13,"singapore","79D Toa Payoh Central #01-55,"
"v5ld","Hana K-Food (Novena)","Korean",4.9,365,"singapore","02-25, 238 Thomson Road, Novena Square Velocity,"
"t0xx","Aroy Chatuchak (Toa Payoh Central)","Chicken",4.7,432,"singapore","Blk 177, Toa Payoh central, #01-176, Singapore 310177 (Tha Siam),"
"s8sj","Spizza (Bukit Timah)","Pizza",4.8,1530,"singapore","271 Bukit Timah Road Balmoral Plaza #01-09,"
"hr4d","Shanghai Tan Pan-fried Bun (Goldhill Shopping Centre) - Islandwide","Chinese",4.9,26,"singapore","153 Thomson Rd, Goldhill Shopping Center 307607,"
"xe2y","Aryan’s Grace Of India @ A Authentic Indian and Lebanese cuisine In Central area - Restaurant Delivery","",2.4,51,"singapore","159 Thomson Rd (Goldhill Centre) Singapore 307612,"
"mbq8","Kinta Hainanese Chop & Rice (Novena)","Western",4.8,8,"singapore","Balestier Rd 411 #01-11, 329930 Novena, Central, Singapore, Singapore,"
"zqvl","Crazy Western Noodle House 疯狂面家 (Goldhill Plaza)","Western",4.9,78,"singapore","1 Goldhill Plaza #01-05/07/09, Goldhill Plaza, Singapore 308899,"
"dtei","The Clueless Goat Speciality Coffee House (Thomson Road)","Coffee",4.9,60,"singapore","189 Thomson Road,"
"gfye","Omoté (Velocity)","Japanese",4.9,35,"singapore","238 Thomson Rd, #03-09/10 Velocity @ Novena Square, Singapore 307683,"
"o1ye","Nyonya Cuisne (S8) @Kopitiam TTSH","Malaysian",4.9,54,"singapore","308433,  KOPITIAM FOODCOUR STALL 8 NYONYA CUISINE, 308433 Novena, Central, Singapore, Singapore,"
"x5vc","Cool Cup (Toa Payoh North)","Pancakes and Waffles",4.9,301,"singapore","Block 203 Toa Payoh North Unit 01-1107,"
"s2ny","Smiths Authentic British Fish & Chips (Bukit Timah Road)","Snacks",4.8,1091,"singapore","271 Bukit Timah Road,"
"x7qi","Royal Biryani (Novena)","",4.4,623,"singapore","159 Thomson Rd,"
"y1jg","MASTER CHIPPY  (Toa Payoh North)","Seafood",4.9,1199,"singapore","Blk 206 Toa Payoh North #01-1197 S 310206,"
"v0yq","Hong Kong Cha Kee (Goldhill Plaza Mall)","Thai",4.9,697,"singapore","165 Thomson Road, Goldhill Shopping Centre, Upper Central, Newton,"
"m6i4","Maji Curry (10 Sinaran Drive)","Japanese",5.0,84,"singapore","10 Sinaran Dr, #02-07, Singapore 307506,"
"w2aw","Kazoku Japanese Cuisine (Goldhill plaza)","Cakes",5.0,1850,"singapore","01-05, 1 Goldhill Plaza, Novena, Upper Central,"
"w1pt","Macpherson Ah Liang BBQ Seafood (Balestier)","Seafood",5.0,461,"singapore","01-03, 411 Balestier Rd, Balestier Food Centre, Novena, Upper Central,"
"f1je","Heng Kee Teochew Porridge Rice (Toa Payoh)","Chinese",5.0,827,"singapore","78C Toa Payoh Central, #01-77, Central Horizon, S313078,"
"v1kj","Lao Beijing (Square 2)","Chinese",4.9,279,"singapore","Square 2, Novena
10 Sinaran Dr, #02-76/84,,"
"ttw0","Love Mee (Novena)","Asian",0.0,0,"singapore","101 Thompson Road #B1-09/64/65 United Square Singapore 307591,"
"x2om","Meat You Here (Balmoral Plaza)","Western",5.0,119,"singapore","271 Bukit Timah Rd Balmoral Plaza #01-04,"
"v9ru","Yuet Sing Seafood (Toa Payoh)","Chinese",4.5,890,"singapore","#01-74, 95, Toa Payoh Lorong 4, Toa Payoh, Ang Mo Kio,"
"ff1n","KK Kitchen (Toa Payoh Palm Spring)","Seafood",4.9,546,"singapore","Blk 92 Toa Payoh Lorong 4, #01-264, Singapore 310092,"
"rznf","Mee Hoon Delight & Lei Cha Pao Fan ( Velocity @ Novena Square)","Asian",4.7,90,"singapore","238 Thomson Road, Velocity @ Novena Square #03-47, S 307683,"
"o43y","Garang Grill Smoked Burgers (Stevens Road)","American",4.9,53,"singapore","60 Stevens Road Singapore,"
"xcog","Sedap! Nasi Lemak (Goldhill Shopping Center) - Islandwide","Nasi Lemak",0.0,0,"singapore","185 THOMSON ROAD GOLDHILL SHOPPING CENTRE SINGAPORE 307629,"
"q7o2","Zhong Guo Xiao Chu 中国小厨  (Toa Payoh North)","Singaporean",0.0,0,"singapore","203 Toa Payoh North, #01-1097, Singapore, 310203,"
"x7hr","Uncle Fatt (Bukit Timah Road)","Fried Rice",5.0,61,"singapore","271 Bukit Timah Road, 01-04A Newton Upper Central,"
"y4xf","Nanta BBQ (Goldhill Centre)","Korean",5.0,234,"singapore","175 Thomson Road, Goldhill Centre,"
"diik","101 Pot Noodles (United Square)","Chinese",0.0,0,"singapore","101 THOMSON ROAD #B1-03 UNITED SQUARE SINGAPORE 307591,"
"zqpm","BBQ Seoul Shokudo (Velocity Novena Square)","Korean",0.0,0,"singapore","238 Thomson Rd, #01-90 Velocity NOVENA SQUARE,Velocity Opposite Gold Heart,"
"c8tb","Mao Ba Fishball Noodle 毛爸鱼圆面 (Velocity @ Novena Square)","Vegetarian",4.7,16,"singapore","238 Thomson Road #03-47/56 Novena square Singapore, S 307683,"
"x3kt","Tandoori Corner (Balestier)","Indian",5.0,647,"singapore","400 Balestier Road, Unit 01-12 Balestier Plaza,"
"dnky","Frosty Owl (Lorong 1 Toa Payoh)","",0.0,0,"singapore","Frosty Owl, Lor 1 Toa Payoh 107, 310107 Toa Payoh, North, Singapore, Singapore,"
"suf2","XianYu Gang & Nang Myanmar Kitchen (Toa Payoh)","Asian",4.7,7,"singapore","Lor 4 Toa Payoh 94 01-04, 310094 Toa Payoh, North, Singapore, Singapore,"
"mz85","Super Fried Rice (Square 2)","Singaporean",4.7,29,"singapore","10 SINARAN DRIVE #B1-123 SQUARE 2
SINGAPORE 307506,"
"vspa","State of Affairs (Upper Thomson Road)","American",5.0,129,"singapore","183 Upper Thomson Rd, Singapore 574429, S 574429,"
"y9lz","Hoshino Coffee (United Square)","Japanese",4.9,523,"singapore","101 Thomson Road, #02-06/07, United Square,"
"g4j2","THREE. by Garamika (Toa Payoh)","Grill",5.0,75,"singapore","94 Lor 4 Toa Payoh, #01-22, S 310094,"
"x5gv","Teochew Hai Gang Fish Soup 潮州海港鱼汤 (66 Toa Payoh Lorong 4)","Soups",4.9,752,"singapore","66 Toa Payoh Lorong 4 01-327,"
"riq6","Twist & Buckle (Novena)","Dessert",0.0,0,"singapore","Thomson Rd 238, 307683 Novena, Central, Singapore, Singapore,"
"v3ii","TungLok Teahouse (Square 2)","Chinese",4.9,448,"singapore","01-73, 10 Sinaran Drive, Square 2, Novena, Upper Central,"
"y664","Zam Zam Corner (Toa Payoh)","Indian",5.0,10,"singapore","Toa Payoh N 203, 310203 Toa Payoh, North, Singapore, Singapore,"
"hrvl","OnlyCreamery (Temple Street)","",0.0,0,"singapore","79E Toa Payoh Central #01-75, 315079,"
"deid","Soul Of India @ North Indian, Middle Eastern Restaurant - Restaurant Delivery","",1.5,93,"singapore","159 Thomson Road 307612,"
"vyrr","Light of India (159 Thomson Rd) - Restaurant Delivery","Indian",1.0,57,"singapore","159 Thomson Road, #01-01,"
"xznz","Mint Leaf of Mumbai @United Square - Restaurant Delivery","",1.5,76,"singapore","159,Thomson Road,"
"lsdb","Old Chang Kee (Novena Square)","Snacks",5.0,323,"singapore","238 Thomson Road, #01-70/71,"
"oqgh","JIA XIANG MALA HOTPOT (Novena Square) - 家乡麻辣香锅 - Islandwide","Mala Xiang Guo",0.0,0,"singapore","238 THOMSON ROAD #02-26/27 NOVENA SQUARE SINGAPORE 307683,"
"d4pr","Belle-Ville Pancake Café (Square 2)","Dessert",4.9,118,"singapore","10 Sinaran Drive, Square 2, #01-152-154, S307506,"
"n6k7","J N J FOODHUB FILIPINO AND WESTERN FOOD (Toa Payoh Central)","Filipino",0.0,0,"singapore","177 TOA PAYOH CENTRAL #01-176 SINGAPORE (310177), S 310177,"
"znf1","Steam Rice Kitchen 蒸有米 (Toa Payoh)","Asian",4.9,57,"singapore","206 Toa Payoh North #01-1197,"
"zzts","Gou La Ma? Mala Hotpot 够辣麻? (Toa Payoh Mall)","Asian",4.6,6,"singapore","Toa Payoh Central 183 够辣麻 ？ 183 TOA PAYOH CENTRAL #01-316, 310183 Toa Payoh, North, Singapore, Singapore,"
"w2gh","Original Herbal Shop (Balestier Road)","Chinese",5.0,179,"singapore","414 Balestier Road, Novena, Upper Central,"
"x9jd","Qiyin Teochew Minced Meat Noodle (Toa Payoh North)","Noodles",4.5,98,"singapore","203 Toa Payoh North 01-1121,"
"bizp","Tun Xiang Hokkien Delights (Novena Square 2)","Asian",4.7,24,"singapore","10 SINARAN DRIVE #03-66/67/68/69/70, SQUARE 2, SINGAPORE 307506,"
"jko2","Kemuri BBQ (Balestier)","Japanese",4.9,175,"singapore","400 BALESTIER ROAD #01-41 BALESTIER PLAZA, SINGAPORE 329802,"
"in4x","Nature's Nutrition (Sinaran Drive)","Healthy",0.0,0,"singapore","10 Sinaran Drive, #03-45, Square 2, Singapore, 307506, S 307506,"
"w3yj","Maanda Thai Cuisine (Jalan Tan Tock Seng)","Thai",4.9,284,"singapore","National Centre for Infectious Diseases (NCID) or Centre For Healthcare Innovation (CHI). No 16, Jalan Tan Tock Seng Singapore 308442. Level B1, PitStop by Kopitiam. Stall 5 Maanda Thai Cuisine.,"
"w2ng","Cedele (United Square)","",4.4,191,"singapore","B1-35/36 United Square, 101 Thomson Road, Newton, Upper Central,"
"jrbo","Madam Ang KK (Novena)","Asian",0.0,0,"singapore","10 Sinaran Dr #01-170 , Singapore 307506, S 307506,"
"y8cw","Kamome Bakery (Novena)","Dessert",5.0,87,"singapore","Goldhill Shopping Centre, 169 Thomson Road Singapore,"
"hzhj","GAGAYA (United Square) - Islandwide","",0.0,0,"singapore","united square, 101 Thomson road #B1-02 Singapore 307591,"
"lybi","Mon 98 (Toa Payoh Central)","Asian",0.0,0,"singapore","MON 98, Toa Payoh Central 78C, 313078 Novena, Central, Singapore, Singapore,"
"fhrx","Bombay Bites (Goldhill Shopping Centre) - Restaurant Delivery","Indian",2.1,44,"singapore","159 Thomson Road, Goldhill Shopping Centre, Novena, 307612, Singapore,"
"wqrs","70's Satay Beehoon (Lorong 4 Toa Payoh)","Singaporean",4.3,9,"singapore","70's Satay Bee Hoon and Ngoh Hiang, Lor 4 Toa Payoh Blk 94, 310094 Toa Payoh, North, Singapore, Singapore,"
"dzn6","UNATOTO (Velocity)","Japanese",4.9,60,"singapore","238 Thomson Road, Velocity@Novena Square #01-84/85 307683,"
"s9gh","Fatboy's The Burger Bar (Upper Thomson)","American",4.9,2451,"singapore","187 Upper Thomson Rd Singapore,"
"q5o8","Royal Biryani (159 Thomson Rd)- Restaurant Delivery","Indian",1.7,74,"singapore","159 Thomson Rd,"
"j3vy","Vienna Restaurant (United Square)","Chinese",0.0,0,"singapore","101 Thomson Rd, #B1-01, United Square 307591,"
"y2a0","Nam Kee Chicken Rice (200 Upper Thomson Road)","Chicken",4.9,207,"singapore","201 Upper Thomson Rd Singapore 574343,"
"s3wn","Curry Times (Novena Square)","Chicken",5.0,2461,"singapore","02-33/34, 238 Thomson Road, Novena Square, Novena, Upper Central,"
"x4be","Guzman Y Gomez (Novena Square)","Mexican",4.9,3086,"singapore","238 Thomson Road #01-68/69,"
"i1yk","Ton Coffee (10 Sinaran Drive)","Vietnamese",5.0,54,"singapore","10 Sinaran Drive, B1-130, Square 2, 307506,"
"scg5","Ee Han Kuey Tiao Kai (Balestier Road)","Chinese",4.9,588,"singapore","365 Balestier Road,"
"w7kc","Ba Shu Jia Chang Cai (Balestier Market)","Chinese",5.0,633,"singapore","411 Balestier Rd, Novena, Upper Central #01-05,"
"v0hg","Swatow Seafood Restaurant  (Toa Payoh Lorong)","Chinese",4.9,155,"singapore","02-602, 181 Toa Payoh Lorong 4, Ang Mo Kio, Toa Payoh,"
"o166","Kim Keat Hokkien Mee (92 Toa Payoh Lorong 4)","Noodles",4.9,31,"singapore","92 Toa Payoh Lorong 4 #01-264 310092,"
"ao9i","Hadya’s Kebab & Grill Corner @ Thomson Road - Restaurant Delivery","",1.8,20,"singapore","159 Thomson Rd (Goldhill Centre) Singapore 307612,"
"nbaq","Yi Mi Jiu Ba PTE. LTD. (Upper Thomson Road)","",0.0,0,"singapore","Upper Thomson Rd 205, 574345 Bishan, North, Singapore, Singapore,"
"xuas","Fun Tea (Novena Square 2)","",2.2,10,"singapore","10 SINARAN DRIVE, #04-02D SQUARE 2,"
"t4er","881 Western (Thomson Rd)","",0.0,0,"singapore","Food Dynasty USQ, Thomson Rd 101, stall 10  , 307591 Novena, Central, Singapore, Singapore,"
"x5cs","D'life Signature (Square 2)","Vegetarian",5.0,441,"singapore","10 Sinaran Drive #B1-105/105/129 Square 2,"
"c4hm","Wanglee Cafe 旺利茶室 (Toa Payoh)","Malaysian",4.5,5,"singapore","Lor 4 Toa Payoh 92 #01-274, 310092 Toa Payoh, North, Singapore, Singapore,"
